threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5241939360642791,0.9616986159845282,152661,138569,6080
0.02,0.5704682974173882,0.9478899591157924,150469,113295,8272
0.03,0.5963399048920119,0.9377098544169433,148853,100758,9888
0.04,0.6145640769422933,0.929854290951928,147606,92574,11135
0.05,0.6280685065922812,0.9233783332598383,146578,86801,12163
0.06,0.6395390187685216,0.9176646235062145,145671,82104,13070
0.07,0.6492395820726935,0.9124674784712205,144846,78255,13895
0.08,0.6575142531356899,0.908145973630001,144160,75090,14581
0.09,0.6652495618874538,0.9039441606138301,143493,72205,15248
0.1,0.6717897122224364,0.9001392204912404,142889,69810,15852
0.11,0.6777719019918914,0.8962082889738631,142265,67636,16476
0.12,0.6835793535938254,0.8926868294895459,141706,65594,17035
0.13,0.6887091186759892,0.889203167423665,141153,63800,17588
0.14,0.693536695415477,0.8859903868565777,140643,62148,18098
0.15,0.6981005185838327,0.8827965049987085,140136,60603,18605
0.16,0.7021284082683182,0.8798798042093725,139673,59255,19068
0.17,0.7059754489195496,0.8767489180488972,139176,57964,19565
0.18,0.7100871514326508,0.8741030987583548,138756,56651,19985
0.19,0.7138206432573545,0.8715895704323394,138357,55469,20384
0.2,0.7173458562156765,0.868943751141797,137937,54351,20804
0.21,0.7206497249148546,0.8664176236763029,137536,53314,21205
0.22,0.7238089206932219,0.8640237871753359,137156,52336,21585
0.23,0.7268943521594684,0.8614472631519268,136747,51378,21994
0.24,0.7296282026584473,0.8589463339653902,136350,50526,22391
0.25,0.7325879024653105,0.8564265060696354,135950,49625,22791
0.26,0.7352255349609015,0.8540956652660623,135580,48826,23161
0.27,0.7378794410219193,0.8518656175783194,135226,48037,23515
0.28,0.7406124040372978,0.8496040720418795,134867,47235,23874
0.29,0.7432659467465431,0.8472354338198701,134491,46455,24250
0.3,0.7456799733125764,0.8448856943070788,134118,45742,24623
0.31,0.747921477414413,0.8426808448982934,133768,45085,24973
0.32,0.750234799871774,0.8403626032341991,133400,44411,25341
0.33,0.7523825144647615,0.8380191632911472,133028,43781,25713
0.34,0.7546899352680857,0.835801714742883,132676,43126,26065
0.35000000000000003,0.7569703798177836,0.8337732532868005,132354,42493,26387
0.36,0.7589819670622873,0.8314802099016637,131990,41914,26751
0.37,0.7610781627533266,0.829432849736363,131665,41333,27076
0.38,0.7631178309528514,0.8273098947341897,131328,40766,27413
0.39,0.7650113011838501,0.8251554418833194,130986,40235,27755
0.4,0.7669090845058022,0.8230765838693217,130656,39711,28085
0.41000000000000003,0.7689943606804936,0.8212308099356814,130363,39161,28378
0.42,0.7708645869775329,0.8189692643992416,130004,38643,28737
0.43,0.7726663369817144,0.816940802943159,129682,38155,29059
0.44,0.7745076900963059,0.8146477595580222,129318,37650,29423
0.45,0.7762381720559555,0.812379914451843,128958,37174,29783
0.46,0.7780304588176946,0.8103640521352392,128638,36700,30103
0.47000000000000003,0.7799378719627474,0.8082284979935871,128299,36200,30442
0.48,0.7818166267533356,0.8061811378282864,127974,35714,30767
0.49,0.7837051048985407,0.8038628961641919,127606,35218,31135
0.5,0.7855436413134063,0.8016265489067097,127251,34740,31490
0.51,0.787307181593676,0.7993146068123547,126884,34278,31857
0.52,0.7892386192098008,0.7970593608456542,126526,33788,32215
0.53,0.7909810364721818,0.7945836299380752,126133,33331,32608
0.54,0.7926787762665288,0.7922842869831991,125768,32894,32973
0.55,0.794486961810395,0.7899975431678017,125405,32439,33336
0.56,0.7960823770648394,0.7875218122602227,125012,32022,33729
0.5700000000000001,0.7977483503049776,0.7851846718869101,124641,31600,34100
0.58,0.7994890703525672,0.7826774431306341,124243,31160,34498
0.59,0.8013693754327834,0.7800757208282675,123830,30693,34911
0.6,0.802922272242317,0.7775054963745976,123422,30294,35319
0.61,0.8046170250345067,0.7748533775143158,123001,29868,35740
0.62,0.8065485782691916,0.7724658405830882,122622,29411,36119
0.63,0.8083288135144788,0.769857818710982,122208,28978,36533
0.64,0.8100877572338174,0.7670167127585186,121757,28544,36984
0.65,0.8118889401939331,0.7642826994916248,121323,28110,37418
0.66,0.8137645007305069,0.761403796120725,120866,27661,37875
0.67,0.8156324299426264,0.758537491889304,120411,27218,38330
0.68,0.8173585368512866,0.7556270906697072,119949,26803,38792
0.6900000000000001,0.8191505410260982,0.7525466010671471,119460,26374,39281
0.7000000000000001,0.82112580769868,0.7493023226513629,118945,25911,39796
0.71,0.82293006025813,0.7458942554223547,118404,25477,40337
0.72,0.8247617448255594,0.7425302851815221,117870,25044,40871
0.73,0.8266846000549268,0.7395379895553134,117395,24612,41346
0.74,0.8285698079227437,0.7361614201750021,116859,24178,41882
0.75,0.8307848405167486,0.7324509735985032,116270,23682,42471
0.76,0.8327921961052518,0.7287279278825256,115679,23226,43062
0.77,0.8350798258345428,0.7249166881901966,115074,22726,43667
0.78,0.8372778684146993,0.7209542588241223,114445,22242,44296
0.79,0.8392377607932245,0.7166201548434242,113757,21791,44984
0.8,0.8414167720812561,0.7123427469903806,113078,21312,45663
0.81,0.8437905993496594,0.7078196559175008,112360,20801,46381
0.8200000000000001,0.8460535492282968,0.703082379473482,111608,20308,47133
0.8300000000000001,0.8487065366436598,0.697935630996403,110791,19750,47950
0.84,0.8509908654590493,0.6925180010205303,109931,19249,48810
0.85,0.8536128966591765,0.6868168904063853,109026,18697,49715
0.86,0.8562775985222651,0.6804165275511682,108010,18129,50731
0.87,0.8588413801962075,0.6739216711498605,106979,17583,51762
0.88,0.861594568632878,0.6667464612166989,105840,17002,52901
0.89,0.8648358011415336,0.6586200162528899,104550,16340,54191
0.9,0.8680134283526709,0.6499014117335786,103166,15687,55575
0.91,0.8712974873509991,0.6400488846611776,101602,15008,57139
0.92,0.8747592534229786,0.6294656074990078,99922,14306,58819
0.93,0.8784790137635258,0.6167908731833616,97910,13544,60831
0.9400000000000001,0.8833003934317221,0.6025034490144323,95642,12636,63099
0.9500000000000001,0.8883370177906654,0.5847575610585797,92825,11668,65916
0.96,0.8938264688522294,0.562841357935253,89346,10613,69395
0.97,0.8998311940631271,0.5339263328314676,84756,9435,73985
0.98,0.9074847451335236,0.4927964420030112,78227,7975,80514
0.99,0.9170507542705527,0.4223987501653637,67052,6065,91689
1.0,0.9871414441147379,0.006286970599908026,998,13,157743
