threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5312761891403825,0.9544604103539728,151512,133673,7229
0.02,0.5828706909705513,0.9385098997738455,148980,106617,9761
0.03,0.6104320289152232,0.9277439350892334,147271,93986,11470
0.04,0.6283483824852846,0.9192773133594976,145927,86312,12814
0.05,0.6417001178545161,0.9123855840646083,144833,80869,13908
0.06,0.6523471135805379,0.9067789669965541,143943,76711,14798
0.07,0.6610858955475419,0.9019471970064444,143176,73401,15565
0.08,0.6687123478064882,0.8971532244347711,142415,70554,16326
0.09,0.6752075286587196,0.8931152002318241,141774,68197,16967
0.1,0.6809935215602283,0.8893228592487133,141172,66131,17569
0.11,0.6862069302193886,0.8854927208471661,140564,64278,18177
0.12,0.6910910535484285,0.8822043454432063,140042,62597,18699
0.13,0.6955683047307637,0.8790860584222098,139547,61076,19194
0.14,0.6995458180556184,0.8761630580631343,139083,59736,19658
0.15,0.703275070397524,0.8731959607158831,138612,58483,20129
0.16,0.7068113450795015,0.8703422556239409,138159,57309,20582
0.17,0.7101384247225316,0.8674066561253866,137693,56203,21048
0.18,0.7133162552156675,0.8647860351138017,137277,55172,21464
0.19,0.716242169878957,0.8621969119509137,136866,54223,21875
0.2,0.7192644114237539,0.8599038685657769,136502,53278,22239
0.21,0.7219820613055677,0.8574722346463737,136116,52415,22625
0.22,0.724633038055115,0.8549146093321827,135710,51571,23031
0.23,0.7272580731825264,0.8526467642260034,135350,50760,23391
0.24,0.7299413339100814,0.8504356152474786,134999,49946,23742
0.25,0.7323139187623415,0.8480606774557298,134622,49209,24119
0.26,0.7344336166070589,0.8460322159996472,134300,48562,24441
0.27,0.7367167561383438,0.8437706704632074,133941,47867,24800
0.28,0.7388000265480852,0.8414839266478099,133578,47226,25163
0.29,0.7409796322347826,0.839480663470685,133260,46583,25481
0.3,0.7430312517470788,0.837250615782942,132906,45964,25835
0.31,0.7450093802307425,0.835556031523047,132637,45397,26104
0.32,0.7470262458152913,0.8335779666248795,132323,44810,26418
0.33,0.7489489421336617,0.8315621043082757,132003,44248,26738
0.34,0.7509080852374137,0.8295651407008902,131686,43683,27055
0.35000000000000003,0.7526085685963294,0.8274232869894986,131346,43175,27395
0.36,0.7543434459731737,0.8254767199400281,131037,42673,27704
0.37,0.7560739986579356,0.8233600645075941,130701,42167,28040
0.38,0.7579800375531179,0.8214008983186448,130390,41633,28351
0.39,0.7597612679428631,0.8195740230942227,130100,41138,28641
0.4,0.7615641448430046,0.8175896586263158,129785,40634,28956
0.41000000000000003,0.7631459508526227,0.815605294158409,129470,40183,29271
0.42,0.7647894830342867,0.8135894318418052,129150,39720,29591
0.43,0.7664190599668139,0.8118129531752981,128868,39275,29873
0.44,0.7680667650379646,0.8099293818232215,128569,38824,30172
0.45,0.7697924604150792,0.8082284979935871,128299,38368,30442
0.46,0.7712479738727501,0.806307129223074,127994,37963,30747
0.47000000000000003,0.7729432630553084,0.8043983595920399,127691,37510,31050
0.48,0.7743147146417066,0.8025525856583995,127398,37132,31343
0.49,0.7759453403102999,0.8005619216207533,127082,36695,31659
0.5,0.7775208395949237,0.7985334601646707,126760,36271,31981
0.51,0.7791184953287155,0.7964294038717156,126426,35842,32315
0.52,0.7807701832590391,0.7944387398340693,126110,35410,32631
0.53,0.7821998320738874,0.7922716878437203,125766,35019,32975
0.54,0.7838739712673486,0.7902243276784195,125441,34586,33300
0.55,0.7854828378734787,0.7879816808511979,125085,34161,33656
0.56,0.7869786637890233,0.7856004434897097,124707,33756,34034
0.5700000000000001,0.7884728745555154,0.783634977731021,124395,33372,34346
0.58,0.7900583454355525,0.7813734321945811,124036,32960,34705
0.59,0.7914205821565001,0.779155983646317,123684,32597,35057
0.6,0.7930003472177569,0.7769196363888347,123329,32193,35412
0.61,0.7945017803943364,0.774481702899692,122942,31799,35799
0.62,0.796053400516863,0.7723083513396035,122597,31409,36144
0.63,0.7973562820922692,0.7698704178504608,122210,31059,36531
0.64,0.7990034093889326,0.767690766720633,121864,30656,36877
0.65,0.8006487470084456,0.765019749151133,121440,30237,37301
0.66,0.8024741283868444,0.7625377186738146,121046,29795,37695
0.67,0.8040426127651631,0.7597785071279631,120608,29394,38133
0.68,0.8057589656929803,0.7569437007452391,120158,28966,38583
0.6900000000000001,0.8072605925776115,0.7543419784428723,119745,28590,38996
0.7000000000000001,0.8086916439015462,0.7515323703391058,119299,28222,39442
0.71,0.8102602200079061,0.7489117493275209,118883,27839,39858
0.72,0.8120162080999362,0.7460895420842757,118435,27418,40306
0.73,0.8138506334004912,0.7430531494698912,117953,26979,40788
0.74,0.8155651207997778,0.740035655564725,117474,26566,41267
0.75,0.81721669285839,0.7370811573569526,117005,26170,41736
0.76,0.819052507963743,0.7337423853950775,116475,25732,42266
0.77,0.8209196248973001,0.7301453310738877,115904,25284,42837
0.78,0.822792124411471,0.7265860741711341,115339,24841,43402
0.79,0.8244692319855108,0.7226551426537567,114715,24423,44026
0.8,0.8265180485543774,0.7189005990890822,114119,23953,44622
0.81,0.8286116911753968,0.714906671874311,113485,23473,45256
0.8200000000000001,0.8308157989704009,0.7106481627304855,112809,22972,45932
0.8300000000000001,0.8331946137154068,0.7062951600405692,112118,22446,46623
0.84,0.8353877991722152,0.7018602629440409,111414,21954,47327
0.85,0.8377215899195044,0.6969025015591435,110627,21430,48114
0.86,0.8401218410861613,0.6915163694319678,109772,20890,48969
0.87,0.8426559075667346,0.6854750820518959,108813,20318,49928
0.88,0.8450952717007763,0.6789361286624124,107775,19755,50966
0.89,0.847860123186966,0.6720506989372625,106682,19143,52059
0.9,0.8508078183256129,0.6641447389143321,105427,18487,53314
0.91,0.8541348569176969,0.6554639318134572,104049,17769,54692
0.92,0.8574223158528328,0.6461090707504678,102564,17055,56177
0.93,0.8615326802688553,0.6354753970303828,100876,16213,57865
0.9400000000000001,0.8661209123144946,0.6231786368990998,98924,15291,59817
0.9500000000000001,0.8712646997770779,0.6081415639311835,96537,14264,62204
0.96,0.8770446523037743,0.590086997058101,93671,13132,65070
0.97,0.8838914089482333,0.5658840501193768,89829,11800,68912
0.98,0.8940045776289577,0.531488399342325,84369,10003,74372
0.99,0.9096017709879096,0.47109442425082365,74782,7432,83959
