threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5300903979524152,0.9615600254502618,152639,135310,6102
0.02,0.5782471529701446,0.9468127326903573,150298,109622,8443
0.03,0.6051583909337371,0.9365066365967204,148662,96996,10079
0.04,0.6238692882389045,0.9284683856092629,147386,88859,11355
0.05,0.6382533116917116,0.9215010614775011,146280,82908,12461
0.06,0.6499950812488262,0.9157117568870046,145361,78273,13380
0.07,0.6600134252092552,0.9105209114217498,144537,74454,14204
0.08,0.6687428481053875,0.9056576435829433,143765,71213,14976
0.09,0.6767335162236306,0.9013109404627664,143075,68345,15666
0.1,0.6838025295797634,0.8974367050730435,142460,65875,16281
0.11,0.6898877934660487,0.8935498705438418,141843,63760,16898
0.12,0.6957491872721899,0.8898205252581248,141251,61769,17490
0.13,0.7007183636055676,0.8860848804026685,140658,60076,18083
0.14,0.7058713895689143,0.8827650071500116,140131,58391,18610
0.15,0.710359601675122,0.8794325347578761,139602,56921,19139
0.16,0.7147364256241875,0.8762512520394857,139097,55516,19644
0.17,0.718957264868621,0.873391247377804,138643,54196,20098
0.18,0.7229992412945085,0.8704493483095105,138176,52939,20565
0.19,0.7267492492096249,0.8674192552648654,137695,51772,21046
0.2,0.7301863499462554,0.8644332592083961,137221,50705,21520
0.21,0.7335220661959069,0.8618252373362899,136807,49700,21934
0.22,0.7366817393559262,0.8590219288022628,136362,48741,22379
0.23,0.7397571211618121,0.8561304262918843,135903,47810,22838
0.24,0.742832862742948,0.8535224044197781,135489,46906,23252
0.25,0.7456611022787494,0.8509332812568902,135078,46074,23663
0.26,0.7484914487648215,0.8486087400230564,134709,45265,24032
0.27,0.7512736342334987,0.8462967979287015,134342,44477,24399
0.28,0.7538377563193553,0.8439092609974739,133963,43745,24778
0.29,0.7562309307762413,0.8415910193333795,133595,43064,25146
0.3,0.7587715052079478,0.8393420729364185,133238,42359,25503
0.31,0.7610554059474016,0.8367529497735304,132827,41703,25914
0.32,0.7630560036874856,0.8342898180054302,132436,41124,26305
0.33,0.7652544337544918,0.8317762896794149,132037,40503,26704
0.34,0.7674437584894221,0.8293068583415752,131645,39892,27096
0.35000000000000003,0.7695906021384356,0.8270453128051354,131286,39306,27455
0.36,0.7717950229979951,0.8244939870606838,130881,38699,27860
0.37,0.774082004258575,0.8221631462571106,130511,38090,28230
0.38,0.7761152194656489,0.8198197063140588,130139,37541,28602
0.39,0.7779349957131465,0.8173754732551767,129751,37038,28990
0.4,0.7797734247351699,0.8147485526738524,129334,36527,29407
0.41000000000000003,0.7816754561435413,0.812348416603146,128953,36017,29788
0.42,0.783492779233441,0.8099923775206154,128579,35531,30162
0.43,0.7853822835971708,0.8079135195066177,128249,35046,30492
0.44,0.7872762073570774,0.8058346614926201,127919,34564,30822
0.45,0.7891672493054739,0.8034849219798288,127546,34075,31195
0.46,0.791118492669242,0.8011855790249526,127181,33580,31560
0.47000000000000003,0.7929488141699189,0.7986783502686766,126783,33105,31958
0.48,0.7947178494191017,0.7963349103256248,126411,32653,32330
0.49,0.7964790779379984,0.7940355673707485,126046,32208,32695
0.5,0.7981475364012909,0.7914653429170788,125638,31774,33103
0.51,0.7998761317345389,0.7891785991016813,125275,31343,33466
0.52,0.8017521902377972,0.7869233531349809,124917,30888,33824
0.53,0.8035181910870771,0.7844098248089656,124518,30448,34223
0.54,0.8051506379885512,0.7814994235893689,124056,30022,34685
0.55,0.807000600349769,0.7790551905304868,123668,29576,35073
0.56,0.8088722643304788,0.7764849660768169,123260,29125,35481
0.5700000000000001,0.8105097852910513,0.773813948507317,122836,28718,35905
