class_id,class_name,TP,FP,TN,FN,accuracy,sensitivity,specificity,ppv,npv
0,Background,59815112,180507,65751,27987,0.9965302674149101,0.999532327027382,0.2670004629291231,0.9969913303169686,0.7014337835242911
1,LL1,8862,1710,60058777,20008,0.9996385716026217,0.3069622445445099,0.9999715287023896,0.8382519863791147,0.9996669706286504
2,LL2,3050,6282,60059321,20704,0.9995509021672507,0.12839942746484803,0.9998954143522042,0.32683240462923274,0.9996553929529823
3,LL3,4313,3940,60058264,22840,0.9995543303949815,0.15884064375943727,0.999934401341649,0.5225978432085302,0.9996198471985468
4,LL4,6570,4530,60055355,22902,0.9995434798877945,0.22292345276872963,0.9999245752801558,0.5918918918918918,0.9996187971964633
5,RL1,5025,5056,60063930,15346,0.9996604723195823,0.24667419370673999,0.9999158301090683,0.49846245412161494,0.9997445708233901
6,RL2,6192,4908,60055328,22929,0.999536739925508,0.2126300607808798,0.9999182820393846,0.5578378378378378,0.9996183477826263
7,ANT,4779,6321,60053733,24524,0.9994866811438837,0.1630891035047606,0.9998947553393808,0.43054054054054053,0.9995917990763281
8,Apex,7624,3476,60056410,21847,0.9995785776173308,0.25869498829357673,0.9999421244322708,0.6868468468468468,0.999636357626021
9,Base,5696,5404,60055210,23047,0.9995265218098439,0.19816998921476534,0.9999100242298555,0.5131531531531531,0.9996163836777089
