threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5187404415779069,0.9636766808826958,152975,141922,5766
0.02,0.5660742030638976,0.950195601640408,150835,115623,7906
0.03,0.5927406548734399,0.9405824582181037,149309,102587,9432
0.04,0.6114834037317346,0.9329473796939669,148097,94096,10644
0.05,0.6255236086362999,0.9266037129664044,147090,88057,11651
0.06,0.637284263848746,0.9209089019219987,146186,83203,12555
0.07,0.6471041062243027,0.9161149293503253,145425,79307,13316
0.08,0.6559272390935718,0.9113587541970883,144670,75888,14071
0.09,0.6637567466664208,0.9071884390296143,144008,72951,14733
0.1,0.6707724406354671,0.9032764062214551,143387,70377,15354
0.11,0.676953864100874,0.8992887785764232,142754,68123,15987
0.12,0.6828786954830717,0.8959059096263725,142217,66044,16524
0.13,0.6882579492086003,0.8927309264777216,141713,64188,17028
0.14,0.6933021707428448,0.8894992472014162,141200,62463,17541
0.15,0.6979589406733412,0.8862360700764138,140682,60880,18059
0.16,0.7021279791708391,0.8833823649844715,140229,59491,18512
0.17,0.7063303164905579,0.88052236032279,139775,58114,18966
0.18,0.710382179247881,0.8775048664176237,139296,56790,19445
0.19,0.7140359177963835,0.8746322626164633,138840,55604,19901
0.2,0.7177482489203187,0.8721124347207085,138440,54441,20301
0.21,0.7213913188892024,0.8696178051039114,138044,53314,20697
0.22,0.7248503877275793,0.8667829987211874,137594,52230,21147
0.23,0.7279881973964221,0.8641560781398631,137177,51256,21564
0.24,0.7312095303786166,0.861485060570363,136753,50270,21988
0.25,0.734078001776438,0.8590471270812203,136366,49399,22375
0.26,0.7369964442131738,0.8565335987552051,135967,48521,22774
0.27,0.7398838884281287,0.85422165666085,135600,47672,23141
0.28,0.7423771446145735,0.8515443395216107,135175,46909,23566
0.29,0.7451217759499409,0.8491631021601225,134797,46109,23944
0.3,0.747695782043509,0.8467881643683737,134420,45359,24321
0.31,0.7500209906465679,0.8440919485199161,133992,44659,24749
0.32,0.752385136124534,0.8415721206241614,133592,43966,25149
0.33,0.7546541272449153,0.8391278875652793,133204,43306,25537
0.34,0.7569902276418131,0.8368852407380576,132848,42647,25893
0.35000000000000003,0.7592438684679624,0.8344599063883936,132463,42004,26278
0.36,0.7616466164546304,0.8319715763413359,132068,41330,26673
0.37,0.763914344709185,0.8297037312351566,131708,40704,27033
0.38,0.7659495051410509,0.8273350930131472,131332,40131,27409
0.39,0.7682440437786667,0.8251239440346224,130981,39513,27760
0.4,0.7701873975446086,0.8228057023705281,130613,38973,28128
0.41000000000000003,0.7722786957192167,0.8203110727537309,130217,38397,28524
0.42,0.7742124000405503,0.8178731392645883,129830,37863,28911
0.43,0.776028583932329,0.8154604040544031,129447,37360,29294
0.44,0.7779713114754099,0.8131547615297875,129081,36839,29660
0.45,0.7801755491974202,0.8107798237380387,128704,36264,30037
0.46,0.7819951723801629,0.8081781014356719,128291,35765,30450
0.47000000000000003,0.7838886199437463,0.8058535602018382,127922,35267,30819
0.48,0.7858331381805184,0.8032833357481683,127514,34752,31227
0.49,0.7877392403808012,0.8006564151668442,127097,34247,31644
0.5,0.7894549873796392,0.7979790980276047,126672,33783,32069
0.51,0.7913513107112425,0.7956734555029892,126306,33302,32435
0.52,0.7932268757168244,0.7929520413755741,125874,32812,32867
0.53,0.7951837014123077,0.7902495259573771,125445,32311,33296
0.54,0.7968993038733202,0.787496613981265,125008,31860,33733
0.55,0.7988599348534202,0.7848444951209832,124587,31369,34154
0.56,0.8005777923945496,0.7820789840053924,124148,30925,34593
0.5700000000000001,0.8025493821154033,0.7793638694477167,123717,30438,35024
0.58,0.8043773328808959,0.7765227634952533,123266,29978,35475
0.59,0.8061839972171356,0.7737824506586201,122831,29530,35910
