threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.4428473091545962,0.9605016977340448,152471,191826,6270
0.02,0.4920376372807032,0.945767004113619,150132,154991,8609
0.03,0.5204917027783519,0.935977472738612,148578,136879,10163
0.04,0.5409563394296331,0.9281156097038572,147330,125021,11411
0.05,0.5572569653313434,0.9220554236145672,146368,116290,12373
0.06,0.5705056333942278,0.9167637850334822,145528,109558,13213
0.07,0.5816958277254374,0.9120958038565966,144787,104118,13954
0.08,0.5915767084532663,0.907591611492935,144072,99467,14669
0.09,0.6004161154741372,0.9035157898715518,143425,95451,15316
0.1,0.608300250464296,0.8996226557726107,142807,91957,15934
0.11,0.6153247056685575,0.8958744117776756,142212,88905,16529
0.12,0.6218102335870224,0.8924726441184068,141672,86166,17069
0.13,0.6278174087844449,0.889285061830277,141166,83686,17575
0.14,0.633424746362617,0.8861226778211048,140664,81405,18077
0.15,0.6385243624139675,0.883079985636981,140181,79358,18560
0.16,0.6437259274275289,0.8801884831266025,139722,77330,19019
0.17,0.6485679829769005,0.8774733685689268,139291,75476,19450
0.18,0.6531937911571025,0.8748149501389055,138869,73731,19872
0.19,0.657488317313172,0.8721502321391449,138446,72122,20295
0.2,0.661685199386503,0.8696808008013053,138054,70586,20687
0.21,0.6655256440009283,0.8671483737660718,137652,69180,21089
0.22,0.6693601872622646,0.8646726428584928,137259,67801,21482
0.23,0.6729733849277956,0.8622221102298713,136870,66511,21871
0.24,0.6764452242179136,0.8597967758802074,136485,65283,22256
0.25,0.6799410692436387,0.857673820878034,136148,64087,22593
0.26,0.6830983435863643,0.8554941697482062,135802,63001,22939
0.27,0.6862111411102613,0.8533838138855117,135467,61946,23274
0.28,0.6892551612261452,0.8511600657675081,135114,60915,23627
0.29,0.6922413306151374,0.8492134987180375,134805,59932,23936
0.3,0.6950335917312661,0.8472228346803913,134489,59011,24252
0.31,0.6978107429118315,0.8451439766663937,134159,58098,24582
0.32,0.7005511328842621,0.8431848104774444,133848,57213,24893
0.33,0.7032938673183475,0.8412004460095376,133533,56335,25208
0.34,0.7058602216063546,0.8391341871350186,133205,55508,25536
0.35000000000000003,0.7084743955428785,0.8371183248184149,132885,54680,25856
0.36,0.7110520021665335,0.8352725508847746,132592,53881,26149
0.37,0.7136314349986244,0.833357481684001,132288,53085,26453
0.38,0.716060972764124,0.8312597249607852,131955,52324,26786
0.39,0.7185323464553176,0.8292627613533996,131638,51566,27103
0.4,0.7212019391783199,0.8275051813961106,131359,50780,27382
0.41000000000000003,0.7236547147100721,0.8256468083229915,131064,50050,27677
0.42,0.7259495287051326,0.8238199330985694,130774,49368,27967
0.43,0.7285325829020028,0.8219552604557109,130478,48619,28263
0.44,0.7307988120835135,0.8200464908246766,130175,47952,28566
0.45,0.7332230303577882,0.8179676328106791,129845,47243,28896
0.46,0.7355055184630058,0.8161029601678206,129549,46587,29192
0.47000000000000003,0.7376109604681034,0.8139737055959078,129211,45964,29530
0.48,0.739829978245022,0.8119389445700859,128888,45325,29853
0.49,0.7420632171965551,0.8098600865560882,128558,44686,30183
0.5,0.7442315281227512,0.8078757220881814,128243,44073,30498
0.51,0.7465725041585198,0.8058031636439231,127914,43421,30827
0.52,0.7486957695399837,0.8037180060601861,127583,42824,31158
0.53,0.7507876385004779,0.8016454476159278,127254,42240,31487
0.54,0.7529362217054999,0.7996232857295846,126933,41651,31808
0.55,0.7549118958487326,0.7977838113656838,126641,41115,32100
0.56,0.7570852144300352,0.7954781688410681,126275,40516,32466
0.5700000000000001,0.7593453576231224,0.793260720292804,125923,39908,32818
0.58,0.7614499766543571,0.7910558708840186,125573,39340,33168
0.59,0.7635787227556775,0.7889959115792391,125246,38779,33495
0.6,0.7656083358872203,0.7868729565770658,124909,38241,33832
0.61,0.7677522361745541,0.7845736136221896,124544,37675,34197
0.62,0.7699634744538222,0.7821671779817438,124162,37095,34579
0.63,0.7721431334140164,0.7797166453531224,123773,36525,34968
0.64,0.7745282012338628,0.7774362011074644,123411,35926,35330
0.65,0.7766690020387167,0.7751620564315457,123050,35383,35691
0.66,0.7788503673972272,0.772560334129179,122637,34822,36104
0.67,0.7810309462801204,0.7699901096755092,122229,34268,36512
0.68,0.7831714169983219,0.7673442903849667,121809,33724,36932
0.6900000000000001,0.7855377568448838,0.7648874581866059,121419,33149,37322
0.7000000000000001,0.787886090955278,0.7620022552459667,120961,32565,37780
0.71,0.7901419067282798,0.7594005329436,120548,32017,38193
0.72,0.7924137339395659,0.7564523343055669,120080,31457,38661
0.73,0.794765510827687,0.7537057218991943,119644,30896,39097
0.74,0.7972773088996125,0.7504173464952344,119122,30289,39619
0.75,0.8000364195532534,0.7472738611952804,118623,29649,40118
0.76,0.8025879410645355,0.7439539879426236,118096,29048,40645
0.77,0.8055329034380204,0.7405081232951789,117549,28378,41192
0.78,0.8081533115487975,0.7369299676832073,116981,27770,41760
0.79,0.8107910360398026,0.7329864370263511,116355,27153,42386
0.8,0.8135440688452669,0.7289358136839253,115712,26520,43029
0.81,0.8169855270072578,0.7247214015282756,115043,25771,43698
0.8200000000000001,0.8199465052741784,0.7203180022804443,114344,25109,44397
0.8300000000000001,0.8230585917410924,0.7158138099167827,113629,24428,45112
0.84,0.826327887092996,0.7111143308912001,112883,23725,45858
0.85,0.8298584622677144,0.705835291449594,112045,22972,46696
0.86,0.8331459916370667,0.7003861636250244,111180,22266,47561
0.87,0.8368911114989718,0.6947354495687944,110283,21494,48458
0.88,0.8409966843858421,0.6886815630492438,109322,20669,49419
0.89,0.8449902381882077,0.6816197453713911,108201,19849,50540
0.9,0.8488775323964227,0.6738838737314241,106973,19044,51768
0.91,0.8534638748869071,0.6655621421056942,105652,18140,53089
0.92,0.8586814890563922,0.6559238004044323,104122,17136,54619
0.93,0.8643631390558519,0.645006646046075,102389,16067,56352
0.9400000000000001,0.8703897745871472,0.6331697545057673,100510,14967,58231
0.9500000000000001,0.8768450472814294,0.6185988496985656,98197,13792,60544
0.96,0.8844592339920655,0.6010986449625491,95419,12465,63322
0.97,0.8936215795111501,0.5780863167045691,91766,10924,66975
0.98,0.9053180680235055,0.5444592134357223,86428,9039,72313
0.99,0.9233434854552867,0.4850983677814805,77005,6393,81736
1.0,1.0,0.00330727411317807,525,0,158216
