epoch,train_loss,grad_norm,learning_rate,val_loss,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy,landmark_accuracy_within_5vox_non_bg,landmark_accuracy_within_10vox_non_bg,landmark_accuracy_within_15vox_non_bg,landmark_accuracy_within_10vox_electrodes,landmark_accuracy_within_15vox_electrodes
1,0.37379468232393265,1.2685641878181033,0.0003,0.1737270951271057,94.12298075358073,88.99947992960612,104.36998240152995,0.0,0.0,0.0,0.0,0.0
2,0.11802143024073707,0.5586842629644606,0.0003,0.05795174092054367,110.24687618679471,112.17691802978516,106.3867925008138,0.0,0.0,0.0,0.0,0.0
3,0.0441032780541314,0.24298902518219417,0.00015,0.026658544316887856,118.24713473849826,125.65598042805989,103.429443359375,0.0,0.0,0.0,0.0,0.0
4,0.027342137259741623,0.1459390479657385,0.00015,0.01997675932943821,125.82400512695312,137.06430943806967,103.34339650472005,0.0,0.0,0.0,0.0,0.0
5,0.021716628844539326,0.1152636566095882,7.5e-05,0.01567959599196911,125.82400512695312,137.06430943806967,103.34339650472005,0.0,0.0,0.0,0.0,0.0
6,0.01892566903390818,0.09917901787492964,7.5e-05,0.014086131937801838,125.86892530653212,137.06430943806967,103.47815704345703,0.0,0.0,0.0,0.0,0.0
7,0.017375753468109503,0.09042334970500734,3.75e-05,0.012689875438809395,125.57168748643663,136.61845270792642,103.47815704345703,0.0,0.0,0.0,0.0,0.0
8,0.016604166995320056,0.08547277707192633,3.75e-05,0.01209044549614191,125.57168748643663,136.61845270792642,103.47815704345703,0.0,0.0,0.0,0.0,0.0
9,0.015935203215728205,0.08158713206648827,1.875e-05,0.011542447842657566,132.85039689805774,136.61845270792642,125.31428527832031,0.0,0.0,0.0,0.0,0.0
10,0.015554312202665541,0.07925845144523515,1.875e-05,0.011250427924096584,132.85039689805774,136.61845270792642,125.31428527832031,0.0,0.0,0.0,0.0,0.0
11,0.01518548336914844,0.07836098844806354,9.375e-06,0.010985299944877625,133.34100511338977,136.61845270792642,126.7861099243164,0.0,0.0,0.0,0.0,0.0
12,0.014888178350196945,0.07689881097111437,9.375e-06,0.01084996573626995,133.34100511338977,136.61845270792642,126.7861099243164,0.0,0.0,0.0,0.0,0.0
