epoch,train_loss,grad_norm,learning_rate,val_loss,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy,landmark_accuracy_within_5vox_non_bg,landmark_accuracy_within_10vox_non_bg,landmark_accuracy_within_15vox_non_bg,landmark_accuracy_within_10vox_electrodes,landmark_accuracy_within_15vox_electrodes
1,0.15281047775513595,1.2879695776436064,0.0003,0.17636694014072418,89.88603379991319,84.11768976847331,101.42272186279297,0.0,0.0,0.0,0.0,0.0
2,0.059155639674928456,0.2543221612771352,0.0003,0.1150776669383049,92.96111467149522,89.10022099812825,100.68290201822917,0.0,0.0,0.0,0.0,0.0
3,0.04370575615515312,0.1799792576995161,0.0003,0.09151361137628555,105.71348275078668,108.7509167989095,99.63861465454102,0.0,0.0,0.0,0.0,0.0
4,0.036337391990754336,0.13047360959980223,0.0003,0.07900754362344742,119.5649808247884,128.8203264872233,101.05428949991862,0.0,0.0,0.0,0.0,0.0
5,0.031279724505212575,0.11076139658689499,0.0003,0.07116222381591797,118.12956831190321,124.91916910807292,104.5503667195638,0.0,0.0,0.0,0.0,0.0
6,0.027622868824336264,0.1066037141200569,0.0003,0.06445500999689102,117.3844108581543,126.89179102579753,98.36965052286784,0.0,0.0,0.0,0.0,0.0
7,0.02509466755307383,0.0980016907884015,0.0003,0.060294415801763535,118.00206120808919,135.53762181599936,82.93093999226888,0.0,0.0,0.0,0.0,0.0
8,0.022711008890635438,0.0958182325379716,0.0003,0.05576597526669502,124.63870196872287,144.62073135375977,84.6746431986491,0.0,0.0,0.0,0.0,0.0
9,0.021001589639733236,0.09550159341759151,0.0003,0.05285182222723961,133.5493621826172,144.52226765950522,111.60355122884114,0.0,0.0,0.0,0.0,0.0
10,0.01976892791895403,0.08711527929537827,0.0003,0.050362978130578995,127.63696204291449,141.7380345662435,99.43481699625652,0.0,0.0,0.0,0.0,0.0
11,0.017920251470059156,0.08741538516349262,0.0003,0.04754132777452469,131.7885496351454,141.7380345662435,111.88957977294922,0.0,0.0,0.0,0.0,0.0
12,0.016529345212297306,0.081269813908471,0.0003,0.045771170407533646,138.66765594482422,141.7380345662435,132.5268987019857,0.0,0.0,0.0,0.0,0.0
13,0.01565973207147585,0.0732684133367406,0.0003,0.04406268894672394,138.66765594482422,141.7380345662435,132.5268987019857,0.0,0.0,0.0,0.0,0.0
14,0.013954503254757987,0.07212655970619784,0.0003,0.04269498214125633,138.49944474962024,141.4857177734375,132.5268987019857,0.0,0.0,0.0,0.0,0.0
15,0.01436384355959793,0.08325594808492395,0.0003,0.040953490883111954,138.51633622911243,141.51105499267578,132.5268987019857,0.0,0.0,0.0,0.0,0.0
