epoch,train_loss,grad_norm,learning_rate,val_loss,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy,landmark_accuracy_within_5vox_non_bg,landmark_accuracy_within_10vox_non_bg,landmark_accuracy_within_15vox_non_bg,landmark_accuracy_within_10vox_electrodes,landmark_accuracy_within_15vox_electrodes
1,0.36530807200405335,1.2672732240623898,0.0003,0.16556382179260254,94.32229614257812,89.49170430501302,103.98347981770833,0.0,0.0,0.0,0.0,0.0
2,0.10541617746154468,0.5359905693266127,0.0003,0.052521225064992905,105.57381863064236,105.4471664428711,105.82712300618489,0.0,0.0,0.0,0.0,0.0
3,0.03689423462169038,0.228717017504904,0.0003,0.023396754637360573,118.44882202148438,125.49391682942708,104.35863240559895,0.0,0.0,0.0,0.0,0.0
4,0.018933921431501705,0.12221620894140667,0.0003,0.013047188520431519,131.6436063978407,139.00618108113608,116.91845703125,0.0,0.0,0.0,0.0,0.0
5,0.011822831299569871,0.07645717615054713,0.0003,0.00851800013333559,120.04971101548936,126.93259684244792,106.28393936157227,0.0,0.0,0.0,0.0,0.0
6,0.008702753318680657,0.055734906966487564,0.0003,0.006366219837218523,122.4559343126085,137.49103673299155,92.38572947184245,0.0,0.0,0.0,0.0,0.0
7,0.007026019402676159,0.04632039564765162,0.0003,0.005160241387784481,123.44561428493924,141.10730997721353,88.12222290039062,0.0,0.0,0.0,0.0,0.0
8,0.006181224042342769,0.04113073067532645,0.0003,0.004408593755215406,123.69905259874132,141.48746744791666,88.12222290039062,0.0,0.0,0.0,0.0,0.0
9,0.00545386434532702,0.04053509018073479,0.0003,0.0039009153842926025,123.69905259874132,141.48746744791666,88.12222290039062,0.0,0.0,0.0,0.0,0.0
10,0.00501445643345101,0.03993404615256521,0.0003,0.0034299667458981276,129.1319376627604,141.48746744791666,104.42087809244792,0.0,0.0,0.0,0.0,0.0
11,0.00464259503254046,0.040000275501774415,0.0003,0.00315476325340569,129.4855482313368,141.82508850097656,104.8064676920573,0.0,0.0,0.0,0.0,0.0
12,0.004359236530338724,0.03843545882652203,0.0003,0.00290578487329185,137.25077056884766,141.82756551106772,128.09718068440756,0.0,0.0,0.0,0.0,0.0
13,0.004105867999088433,0.03522472269833088,0.0003,0.0027533904649317265,137.2491192287869,141.82508850097656,128.09718068440756,0.0,0.0,0.0,0.0,0.0
14,0.0038686291340531576,0.03156650563081106,0.0003,0.00263006123714149,137.30182647705078,141.9041493733724,128.09718068440756,0.0,0.0,0.0,0.0,0.0
15,0.0037734590781231723,0.0350398240197036,0.0003,0.002477891044691205,137.25077056884766,141.82756551106772,128.09718068440756,0.0,0.0,0.0,0.0,0.0
