threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5926606528558958,0.93661372928229,148679,102188,10062
0.02,0.6370368101112925,0.916971670834882,145561,82936,13180
0.03,0.6607514599952101,0.9037677726611273,143465,73659,15276
0.04,0.6762712349139164,0.8937766550544598,141879,67917,16862
0.05,0.6878427071909761,0.8850643501048878,140496,63760,18245
0.06,0.6974961087838886,0.8779458362993807,139366,60443,19375
0.07,0.7054850040529587,0.8717533592455635,138383,57770,20358
0.08,0.7125582214669478,0.8663987249670847,137533,55480,21208
0.09,0.7186974524970573,0.861598452825672,136771,53533,21970
0.1,0.7241662095885232,0.8566721892894715,135989,51798,22752
0.11,0.7291013330746932,0.8524010810061673,135311,50275,23430
0.12,0.7336398951732855,0.8482559641176508,134653,48888,24088
0.13,0.7376293767892534,0.8440352523922616,133983,47657,24758
0.14,0.7413402107697097,0.8402114135604538,133376,46536,25365
0.15,0.7449621883625429,0.8365261652629126,132791,45461,25950
0.16,0.7485696823591328,0.8333007855563465,132279,44430,26462
0.17,0.7519747055063465,0.830018709722126,131758,43458,26983
0.18,0.7548631196416558,0.8270012158169597,131279,42632,27462
0.19,0.7575905010136114,0.8239711227723147,130798,41852,27943
0.2,0.7602265502417741,0.8210481224132392,130334,41107,28407
0.21,0.7625585792978706,0.817999130659376,129850,40432,28891
0.22,0.7649225711464437,0.8149501389055127,129366,39757,29375
0.23,0.7672619508102093,0.8122224252083583,128933,39110,29808
0.24,0.7695362096638958,0.8094380153835493,128491,38481,30250
0.25,0.7716327612803703,0.8066851034074373,128054,37898,30687
0.26,0.7740190429983625,0.8040014866984585,127628,37262,31113
0.27,0.7761618330669465,0.8014942579421825,127230,36692,31511
0.28,0.7781316543628074,0.798798042093725,126802,36155,31939
0.29,0.7801127879857349,0.7964923995691094,126436,35638,32305
0.3,0.7819003065010486,0.7938843776970033,126022,35152,32719
0.31,0.78375949983153,0.7912889549643759,125610,34656,33131
0.32,0.7854360222574919,0.7887313296501849,125204,34203,33537
0.33,0.7872615644777607,0.7859721181043334,124766,33715,33975
0.34,0.7889979830269818,0.783634977731021,124395,33267,34346
0.35000000000000003,0.7904656884616855,0.7812285420905752,124013,32873,34728
0.36,0.7921816632386957,0.778847304729087,123635,32434,35106
0.37,0.7936466027420196,0.7763778733912474,123243,32044,35498
0.38,0.7954501326774966,0.7742486188193346,122905,31605,35836
0.39,0.7971358673728317,0.7717917866209738,122515,31179,36226
0.4,0.7987404108379603,0.7693853509805281,122133,30774,36608
0.41000000000000003,0.800332581847341,0.7670671093164337,121765,30378,36976
0.42,0.801900686175447,0.7649126564655634,121423,29996,37318
0.43,0.8035435814061515,0.7628148997423476,121090,29605,37651
0.44,0.8052473933143433,0.7604147636716412,120709,29194,38032
0.45,0.8066710908225578,0.7580902224378075,120340,28841,38401
0.46,0.8080970732496092,0.7555766941117922,119941,28483,38800
0.47000000000000003,0.8095354142550585,0.7533466464240492,119587,28136,39154
0.48,0.8110200860051168,0.7508709155164702,119194,27774,39547
0.49,0.812420941792647,0.7485085768642001,118819,27434,39922
0.5,0.8136234951349568,0.7459005549920941,118405,27123,40336
0.51,0.8149370602329773,0.7434752206424301,118020,26801,40721
0.52,0.8164684329590718,0.7411947763967721,117658,26448,41083
0.53,0.8178972102720002,0.7389521295695504,117302,26117,41439
0.54,0.819352080895286,0.7365708922080622,116924,25779,41817
0.55,0.8205931642467856,0.7341455578583983,116539,25479,42202
0.56,0.8219643362581376,0.7317580209271707,116160,25160,42581
0.5700000000000001,0.8234490803305973,0.7293137878682886,115772,24822,42969
0.58,0.8248503957274307,0.7267876604027945,115371,24498,43370
0.59,0.8260972699435012,0.723978052299028,114925,24193,43816
0.6,0.8274309745575941,0.7213574312874431,114509,23882,44232
0.61,0.828920126402964,0.7188124051127308,114105,23550,44636
0.62,0.8302198203461623,0.7161476871129702,113682,23248,45059
0.63,0.8316332150961687,0.7133695768579006,113241,22926,45500
0.64,0.833073633993782,0.7106481627304855,112809,22604,45932
0.65,0.8344197303557641,0.7080275417189006,112393,22303,46348
0.66,0.8358985848175946,0.7051171404993039,111931,21974,46810
