case_id,fg_voxels,pseudo_mean_conf,accepted,source_npz
10009_HCT2_img,109373,0.9851088523864746,1,runs\cardiac_leads_ssl\cache\unlabeled\10009_HCT2_img.npz
10070_HCT2_img,145540,0.9841542840003967,1,runs\cardiac_leads_ssl\cache\unlabeled\10070_HCT2_img.npz
10071_HCT2_img,73026,0.9811946749687195,1,runs\cardiac_leads_ssl\cache\unlabeled\10071_HCT2_img.npz
10073_HCT2_img,105119,0.9864168167114258,1,runs\cardiac_leads_ssl\cache\unlabeled\10073_HCT2_img.npz
10074_HCT2_img,147826,0.9850038886070251,1,runs\cardiac_leads_ssl\cache\unlabeled\10074_HCT2_img.npz
10076_HCT2_img,78789,0.986251950263977,1,runs\cardiac_leads_ssl\cache\unlabeled\10076_HCT2_img.npz
10077_HCT2_img,124024,0.9848422408103943,1,runs\cardiac_leads_ssl\cache\unlabeled\10077_HCT2_img.npz
10078_HCT2_img,96750,0.9849834442138672,1,runs\cardiac_leads_ssl\cache\unlabeled\10078_HCT2_img.npz
10088_HCT2_img,61520,0.9846333265304565,1,runs\cardiac_leads_ssl\cache\unlabeled\10088_HCT2_img.npz
10089_HCT2_img,102927,0.980484127998352,1,runs\cardiac_leads_ssl\cache\unlabeled\10089_HCT2_img.npz
10090_HCT2_img,87090,0.9852943420410156,1,runs\cardiac_leads_ssl\cache\unlabeled\10090_HCT2_img.npz
10091_HCT2_img,207345,0.9853813648223877,1,runs\cardiac_leads_ssl\cache\unlabeled\10091_HCT2_img.npz
10092_HCT2_img,169905,0.9861751198768616,1,runs\cardiac_leads_ssl\cache\unlabeled\10092_HCT2_img.npz
10093_HCT2_img,144701,0.9854534268379211,1,runs\cardiac_leads_ssl\cache\unlabeled\10093_HCT2_img.npz
10095_HCT2_img,130378,0.984005868434906,1,runs\cardiac_leads_ssl\cache\unlabeled\10095_HCT2_img.npz
10096_HCT2_img,95493,0.9842010736465454,1,runs\cardiac_leads_ssl\cache\unlabeled\10096_HCT2_img.npz
10097_HCT2_img,124837,0.9818918108940125,1,runs\cardiac_leads_ssl\cache\unlabeled\10097_HCT2_img.npz
10098_HCT2_img,124995,0.9815901517868042,1,runs\cardiac_leads_ssl\cache\unlabeled\10098_HCT2_img.npz
10099_HCT2_img,141331,0.9860469698905945,1,runs\cardiac_leads_ssl\cache\unlabeled\10099_HCT2_img.npz
10101_HCT2_img,113495,0.9864912033081055,1,runs\cardiac_leads_ssl\cache\unlabeled\10101_HCT2_img.npz
