class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox,precision,recall,f1
0,Background,,,,,,,0.9970091654687255,0.9995448096696997,0.9982753774220305
1,LL1,0.77443827688694,0.6521844218174616,3.346327915104592,0.75,1.0,1.0,0.8703087885985749,0.31728437824731553,0.4650336337098616
2,LL2,0.49162161055331427,0.3432798363113155,9.623604871312429,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.3679690854443967,0.1443125368359013,0.20731781070456606
3,LL3,0.5056836356719335,0.34576158101360005,8.018264050372862,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.4739418996844739,0.16042426251242956,0.2397094430992736
4,LL4,0.601949755102396,0.45025779244800407,6.606784249068657,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.599009009009009,0.22560396308360478,0.3277629892536725
5,RL1,0.5031392252047474,0.37189591899262014,4.910261233594398,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.5036231884057971,0.24564331647930882,0.33022074108291816
6,RL2,0.5480170796667087,0.407953581497525,6.4276821806997075,0.25,0.9166666666666666,1.0,0.5701801801801801,0.21733456955461694,0.3147112205067005
7,ANT,0.23509049474611163,0.14434626408270776,17.943546718190213,0.16666666666666666,0.5833333333333334,0.75,0.36486486486486486,0.13821110466505135,0.20048016236418087
8,Apex,0.4007740014543136,0.2644250327721238,5.091889027136909,0.5,1.0,1.0,0.6905405405405406,0.26008618642054904,0.3778561041137759
9,Base,0.39063525703222496,0.27436319496900785,22.932932010047278,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.5526463437441556,0.20561528024214593,0.2997185384283795
