threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5247917438621049,0.963582187336605,152960,138508,5781
0.02,0.5742697682929618,0.9489608859714882,150639,111675,8102
0.03,0.6019499822288281,0.9388752748187299,149038,98554,9703
0.04,0.6211895082463434,0.9308118255523148,147758,90105,10983
0.05,0.6362977996339951,0.9243295682904857,146729,83869,12012
0.06,0.6482103231601838,0.9182567830617169,145765,79108,12976
0.07,0.6585868957777707,0.9131415324333348,144953,75144,13788
0.08,0.6671895896674117,0.9082404671760919,144175,71918,14566
0.09,0.674999411640112,0.9034023976162429,143407,69048,15334
0.1,0.6815961495303898,0.8992383820185081,142746,66683,15995
0.11,0.6880458568136486,0.895294851361652,142120,64436,16621
0.12,0.6939758091007595,0.8916662991917652,141544,62417,17197
0.13,0.6992432732646362,0.8882897298114539,141008,60650,17733
0.14,0.7042469571494455,0.885001354407494,140486,58998,18255
0.15,0.7089979788360324,0.8817129790035341,139964,57447,18777
0.16,0.7134050575277151,0.8784750001574892,139450,56021,19291
0.17,0.7174628091065407,0.8753000170088383,138946,54717,19795
0.18,0.7212818482948272,0.8724211136379385,138489,53515,20252
0.19,0.7250227173644705,0.8695422102670387,138032,52351,20709
0.2,0.7287285325309629,0.8666003111987451,137565,51209,21176
0.21,0.732241545945311,0.8638725975015906,137132,50145,21609
0.22,0.7357323905006377,0.8612519764900057,136716,49107,22025
0.23,0.7387797580330429,0.8586061571994633,136296,48192,22445
0.24,0.7416856342825329,0.8559981353273571,135882,47325,22859
0.25,0.7447847095103811,0.8535224044197781,135489,46428,23252
0.26,0.7475291357232189,0.8509647791055871,135083,45623,23658
0.27,0.7503007552297992,0.8486465374414928,134715,44833,24026
0.28,0.7529825977753857,0.8460826125575623,134308,44060,24433
0.29,0.7553943441887753,0.8435627846618076,133908,43361,24833
0.3,0.7578121008804046,0.841011458917356,133503,42666,25238
0.31,0.7603166534346959,0.8385798249979527,133117,41964,25624
0.32,0.762728228823641,0.8360599971021979,132717,41286,26024
0.33,0.7649748276081315,0.8337228567288855,132346,40661,26395
0.34,0.7672970600375562,0.8314298133437487,131982,40027,26759
0.35000000000000003,0.769735072226446,0.8291304703888724,131617,39373,27124
0.36,0.7720505626238919,0.826843726573475,131254,38753,27487
0.37,0.7741786648053285,0.8244750883514655,130878,38176,27863
0.38,0.7763601849482585,0.8218733660490989,130465,37582,28276
0.39,0.7785812198085706,0.8193787364323016,130069,36990,28672
0.4,0.7805383022774327,0.8169786003615953,129688,36464,29053
0.41000000000000003,0.7824531887338264,0.8144776711750588,129291,35947,29450
0.42,0.7842904531483003,0.8117310587686861,128855,35440,29886
0.43,0.7860840513021343,0.8092742265703252,128465,34959,30276
0.44,0.7879863439239688,0.8069685840457097,128099,34466,30642
0.45,0.7899375893017301,0.8045180514170882,127710,33961,31031
0.46,0.7918109746618995,0.8022061093227333,127343,33482,31398
0.47000000000000003,0.7936664708015052,0.7998311715309845,126966,33008,31775
0.48,0.7955865345937249,0.7974058371813205,126581,32523,32160
0.49,0.797298151167052,0.7948923088553052,126182,32080,32559
0.5,0.7989936979060784,0.7922842869831991,125768,31640,32973
0.51,0.8007268593035436,0.7897455603782262,125365,31199,33376
0.52,0.802503226966523,0.7872257324824714,124965,30754,33776
0.53,0.8044393639968485,0.7846807063077592,124561,30281,34180
0.54,0.8059945716400659,0.7819529926106047,124128,29878,34613
0.55,0.8077013475399561,0.7793449707384985,123714,29454,35027
0.56,0.8096854908090287,0.7766739531689986,123290,28979,35451
0.5700000000000001,0.8113343371902573,0.773895842913929,122849,28567,35892
0.58,0.8129050679983001,0.7711744287865139,122417,28175,36324
0.59,0.8146691331147365,0.7684908120775351,121991,27752,36750
0.6,0.8162941871709466,0.7657504992409019,121556,27356,37185
0.61,0.8179257708284083,0.7628652963002627,121098,26957,37643
0.62,0.8195450406990176,0.7598478023950964,120619,26559,38122
0.63,0.8214334545653422,0.7569311016057604,120156,26120,38585
0.64,0.8227245850693728,0.7538191141545032,119662,25784,39079
0.65,0.824578886905009,0.7505937344479372,119150,25348,39591
0.66,0.8262607411946576,0.7474817469966801,118656,24950,40085
0.67,0.8281122978162756,0.7443886582546412,118165,24527,40576
0.68,0.8301033546156831,0.741226274245469,117663,24082,41078
0.6900000000000001,0.8319223885685065,0.737919000132291,117138,23666,41603
0.7000000000000001,0.8338553734374553,0.7345487303217191,116603,23233,42138
0.71,0.8356796693286479,0.7310650682558382,116050,22819,42691
0.72,0.8374112304779591,0.7272412294240304,115443,22414,43298
0.73,0.8391235414885767,0.723505584568574,114850,22019,43891
0.74,0.8409567771716324,0.7195872521906754,114228,21603,44513
0.75,0.8428921386682503,0.7152909456284136,113546,21164,45195
0.76,0.8448327471376188,0.7111899257280728,112895,20735,45846
0.77,0.8467954379052407,0.7067235307828476,112186,20297,46555
0.78,0.8484303976731968,0.7019736551993498,111432,19907,47309
0.79,0.8504003565555505,0.6971481847789796,110666,19468,48075
0.8,0.852341290152467,0.6923605117770456,109906,19040,48835
0.81,0.8545426065162908,0.687333455125015,109108,18572,49633
0.8200000000000001,0.8565733270052207,0.6821678079387178,108288,18132,50453
0.8300000000000001,0.8588906036350843,0.676649384847015,107412,17647,51329
0.84,0.8615572583320522,0.670771886280167,106479,17110,52262
0.85,0.8638265811692832,0.664484915680259,105481,16628,53260
0.86,0.8664652718415178,0.6576939795012001,104403,16090,54338
0.87,0.8690895933084813,0.6506195626838687,103280,15557,55461
0.88,0.8715574386660289,0.6427325013701565,102028,15036,56713
0.89,0.8743390033603377,0.6343351749075539,100695,14472,58046
0.9,0.8776509116657816,0.6246464366483769,99157,13823,59584
0.91,0.8809706650284135,0.6142836444270856,97512,13175,61229
0.92,0.884710319771473,0.6028688240593167,95700,12471,63041
0.93,0.8884541232560569,0.5893121499801564,93548,11745,65193
