threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5209011915648579,0.9580826629541203,152087,139882,6654
0.02,0.568535920206018,0.9429384973006344,149683,113595,9058
0.03,0.595598233178589,0.9326827977649127,148055,100527,10686
0.04,0.6142152800448675,0.9244744583944916,146752,92174,11989
0.05,0.6288892053914777,0.9179292054352688,145713,85986,13028
0.06,0.6406454580841502,0.912379284494869,144832,81240,13909
0.07,0.6508465080132477,0.907427822679711,144046,77275,14695
0.08,0.6595439103655898,0.9025897531198619,143278,73960,15463
0.09,0.6671970721616676,0.898079261186461,142562,71111,16179
0.1,0.6742442954040241,0.8942239245059562,141950,68582,16791
0.11,0.6806890176972404,0.8906961654518997,141390,66326,17351
0.12,0.6863528895605333,0.8869479214569644,140795,64340,17946
0.13,0.6913815799204271,0.8834201624029079,140235,62598,18506
0.14,0.6964370285805445,0.8800435930225966,139699,60892,19042
0.15,0.7009661203066601,0.8766481249330671,139160,59366,19581
0.16,0.705301870380638,0.8734731417844162,138656,57935,20085
0.17,0.7095055238408148,0.8706383354016921,138206,56586,20535
0.18,0.7134945264455831,0.8675641453688713,137718,55301,21023
0.19,0.7172872785021732,0.8649687226362439,137306,54118,21435
0.2,0.7205461131821149,0.8620898192653442,136849,53075,21892
0.21,0.7237621240741133,0.8592991098707958,136406,52062,22335
0.22,0.7269592644071421,0.856646991010514,135985,51075,22756
0.23,0.7303310873042804,0.8541838592424137,135594,50067,23147
0.24,0.7334088973973784,0.8519160141362345,135234,49157,23507
0.25,0.7363744108185458,0.8493394901128253,134825,48268,23916
0.26,0.7390575628520402,0.8472291342501307,134490,47485,24251
0.27,0.741669109472741,0.8447471037728124,134096,46707,24645
0.28,0.7442506344895142,0.8423847651205423,133721,45951,25020
0.29,0.7467622273859851,0.8401610170025388,133368,45227,25373
0.3,0.749549062049062,0.8376915856646991,132976,44432,25765
0.31,0.752135201043498,0.8354741371164349,132624,43706,26117
0.32,0.7545835187276814,0.8333070851260859,132280,43022,26461
0.33,0.7568324192845177,0.8310896365778218,131928,42388,26813
0.34,0.758990543557907,0.8287020996465941,131549,41772,27192
0.35000000000000003,0.7611547186011568,0.8265098493772876,131201,41170,27540
0.36,0.7632536867649804,0.8242357047013689,130840,40584,27901
0.37,0.7652868520755868,0.8220056570136259,130486,40020,28255
0.38,0.7674409005407254,0.8198764024417132,130148,39439,28593
0.39,0.7693921951046008,0.817608557335534,129788,38901,28953
0.4,0.7713662478842349,0.815328113089876,129426,38362,29315
0.41000000000000003,0.7732509720982343,0.8130287701349997,129061,37846,29680
0.42,0.7751293277366592,0.8108239207262145,128711,37340,30030
0.43,0.7770339388289984,0.8086946661543016,128373,36836,30368
0.44,0.7787627310448887,0.806338627071771,127999,36363,30742
0.45,0.7807326038691368,0.8041337776629857,127649,35850,31092
0.46,0.7827124355836521,0.8018092364291519,127280,35334,31461
0.47000000000000003,0.7845551825819254,0.7994909947650576,126912,34851,31829
0.48,0.7863162867016383,0.7969711668693028,126512,34380,32229
0.49,0.7882078064870808,0.7948167140184326,126170,33902,32571
0.5,0.7901533900327885,0.7924480757964231,125794,33408,32947
0.51,0.7919460968186008,0.7900353405862379,125411,32947,33330
0.52,0.7937140608537808,0.7877989933287557,125056,32502,33685
0.53,0.795434244442743,0.7853673594093523,124670,32062,34071
0.54,0.7972071482636083,0.7829294259202096,124283,31615,34458
0.55,0.7991239613975332,0.7803718006060186,123877,31139,34864
0.56,0.801039443035018,0.7777259813154761,123457,30664,35284
