threshold,precision,recall,tp,fp,fn
0.0,0.002641749020546184,1.0,158741,59930616,0
0.01,0.5192727643797408,0.9616986159845282,152661,141329,6080
0.02,0.5672211678859657,0.9470647154799328,150338,114705,8403
0.03,0.5947707452827549,0.9370483995943077,148748,101345,9993
0.04,0.6135561220458524,0.9294385193491285,147540,92927,11201
0.05,0.6281844026980322,0.922868068110948,146497,86710,12244
0.06,0.6401519648581265,0.9171165609388878,145584,81837,13157
0.07,0.6502243763953337,0.9118690193459786,144751,77866,13990
0.08,0.6592363393355731,0.9073018312849233,144026,74448,14715
0.09,0.667093261355175,0.9030118242924008,143345,71535,15396
0.1,0.6744215719632528,0.8990304962171084,142713,68895,16028
0.11,0.6807213334610595,0.8953011509313914,142121,66659,16620
0.12,0.6863442872518885,0.891792290586553,141564,64694,17177
0.13,0.6915632510913817,0.8881700379864055,140989,62881,17752
0.14,0.6964937512398334,0.8847178737692215,140441,61199,18300
0.15,0.7012229030044037,0.881744476852231,139969,59638,18772
0.16,0.7056609119795989,0.8785631941338407,139464,58172,19277
0.17,0.7097553377829753,0.8755457002286744,138985,56836,19756
0.18,0.713591082815671,0.8727297925551685,138538,55604,20203
0.19,0.7171679926878415,0.8699390831606201,138095,54461,20646
0.2,0.7209570239884378,0.8673184621490352,137679,53288,21062
0.21,0.7243324538258575,0.8646852419979716,137261,52239,21480
0.22,0.7273510088661153,0.8620205239982109,136838,51294,21903
0.23,0.7305455908336457,0.8595384935208925,136444,50326,22297
0.24,0.7336410300651339,0.8571446570199256,136064,49400,22677
0.25,0.7366414700899258,0.8545618334267769,135654,48498,23087
0.26,0.7395048027247331,0.8521301995073737,135268,47649,23473
0.27,0.7421542794589272,0.8499001518196307,134914,46873,23827
0.28,0.7448517526184096,0.8476260071437121,134553,46091,24188
0.29,0.7475147111269614,0.8450620822597816,134146,45310,24595
0.3,0.7501500019626425,0.8427249418864692,133775,44556,24966
0.31,0.7526936311840695,0.8405515903263807,133430,43840,25311
0.32,0.7550370794868448,0.8382837452202014,133070,43173,25671
0.33,0.7573560889294786,0.8358584108705376,132685,42510,26056
0.34,0.7595601443993595,0.833716557159146,132345,41894,26396
0.35000000000000003,0.7617555039887323,0.831322720658179,131965,41273,26776
0.36,0.763828255619543,0.8288595888900788,131574,40682,27167
0.37,0.7658444022770399,0.8263145627153665,131170,40105,27571
0.38,0.7679689059546037,0.8239963210512722,130802,39520,27939
0.39,0.770122746836863,0.8217032776661354,130438,38935,28303
0.4,0.7722126909308938,0.8194480316994349,130080,38371,28661
0.41000000000000003,0.7742168430224577,0.8172242835814314,129727,37832,29014
0.42,0.7759827291535486,0.8151580247069126,129399,37356,29342
0.43,0.7779653149921938,0.813016170995521,129059,36834,29682
0.44,0.7799025667127172,0.8108302202959538,128712,36324,30029
0.45,0.7818929289238078,0.808732463572738,128379,35811,30362
0.46,0.7836593785960875,0.8065213145942132,128028,35344,30713
0.47000000000000003,0.7856114488223858,0.8043731613130823,127687,34845,31054
0.48,0.7875281399203424,0.8021683119042969,127337,34355,31404
0.49,0.7894268854579258,0.7997807749730693,126958,33865,31783
0.5,0.7912753692055672,0.7972420483680964,126555,33383,32186
0.51,0.7931231695513908,0.794986802401396,126197,32917,32544
0.52,0.7949609365123511,0.7922716878437203,125766,32438,32975
0.53,0.7968675510580279,0.7897392608084868,125364,31957,33377
0.54,0.7985366944630818,0.7872383316219502,124967,31528,33774
0.55,0.8004035885966941,0.7845862127616684,124546,31058,34195
0.56,0.8021165115032013,0.7821167814238288,124154,30629,34587
0.5700000000000001,0.803962711534089,0.7796221518070315,123758,30177,34983
0.58,0.8058826987517391,0.7772094165968464,123375,29718,35366
0.59,0.8076554206737085,0.7745383990273464,122951,29281,35790
0.6,0.809346387094217,0.7717854870512344,122514,28860,36227
0.61,0.8108926673751329,0.7691018703422556,122088,28472,36653
0.62,0.8124795381809192,0.766046579018653,121603,28066,37138
0.63,0.814304338476426,0.7633503631701954,121175,27633,37566
0.64,0.8160792877086475,0.7604336623808594,120712,27205,38029
0.65,0.8176968872257186,0.757088590849245,120181,26794,38560
0.66,0.8194686873250234,0.7541655904901695,119717,26374,39024
0.67,0.8211540051252376,0.7509213120743853,119202,25962,39539
0.68,0.8232051095346079,0.7478030250533888,118707,25494,40034
0.6900000000000001,0.8249703398701933,0.7446721388929136,118210,25080,40531
0.7000000000000001,0.8268647068742623,0.7413711643494749,117686,24642,41055
0.71,0.8287753600633825,0.7380512910968181,117159,24205,41582
0.72,0.8306014432358116,0.7345235320427614,116599,23780,42142
0.73,0.832547829642542,0.7311154648137532,116058,23343,42683
0.74,0.8344134966222319,0.7275184104925634,115487,22918,43254
0.75,0.8363837643751411,0.7234299897317014,114838,22465,43903
0.76,0.8381849000946587,0.719580952620936,114227,22052,44514
